序號,年度,職類別,行業別,7月底受僱員工人數,7月經常性薪資（金額元）,111年1月至111年12月全年薪資所得（金額萬元）
1,2023,主管及監督人員,E000000000,2253,76377,112.6
2,2023,高階主管(總經理及總執行長),E000000000,200,129688,211.9
3,2023,中階主管(經理),E000000000,492,83374,118.1
4,2023,監督人員(含現場及辦公室主任、科/股長),E000000000,1561,67341,97.2
5,2023,專業人員,E000000000,1755,56823,86.2
6,2023,品管、工管及生管工程師,E000000000,56,51825,72
7,2023,土木及水利工程師,E000000000,232,82144,132.8
8,2023,環境工程師,E000000000,632,47919,68.1
9,2023,機械工程師(含造船、輪機、鑄造),E000000000,94,49214,64.7
10,2023,化學工程師,E000000000,94,61950,96.5
11,2023,電機、電子工程師,E000000000,97,64979,97.6
12,2023,護理人員,E000000000,-,-,-
13,2023,勞安及衛生管理人員(含工業安全管理師),E000000000,274,47860,66.5
14,2023,會(審)計師,E000000000,-,-,-
15,2023,財務及投資規劃分析人員,E000000000,-,-,-
16,2023,專案管理師(含經營管理顧問),E000000000,76,72457,110.9
17,2023,稽核人員,E000000000,---,---,---
18,2023,人力資源管理師,E000000000,---,---,---
19,2023,廣告及行銷專業人員(含企劃),E000000000,49,71134,124.4
20,2023,公關專業人員,E000000000,---,---,---
21,2023,資訊及通訊專業人員(含系統分析、程式設計、資料庫及網路專業人員),E000000000,90,58885,89.1
22,2023,技術員及助理專業人員,E000000000,6221,41465,60.3
23,2023,營建工程技術員(含建築、土木、景觀、測量、水利、消防),E000000000,589,48198,82.3
24,2023,電機、電子技術員,E000000000,237,48405,72.7
25,2023,機械技術員(含造船、輪機、鑄造),E000000000,194,37374,46.4
26,2023,化工技術員,E000000000,362,42453,66
27,2023,品管、工管及生管技術員,E000000000,112,39516,62.3
28,2023,製圖員,E000000000,---,---,---
29,2023,環境工程技術員,E000000000,1671,34519,45.7
30,2023,發電設備操作員,E000000000,---,---,---
