序號,年度,職類別,行業別,7月底受僱員工人數,7月經常性薪資（金額元）,111年1月至111年12月全年薪資所得（金額萬元）
1,2023,主管及監督人員,I000000000,75011,50497,66.2
2,2023,高階主管(總經理及總執行長),I000000000,2308,132559,173.5
3,2023,中階主管(經理),I000000000,9226,67126,86
4,2023,監督人員(含現場及辦公室主任、科/股長),I000000000,63477,45096,59.2
5,2023,專業人員,I000000000,4398,44762,59.8
6,2023,食品工程師,I000000000,---,---,---
7,2023,電機、電子工程師,I000000000,---,---,---
8,2023,平面及多媒體設計師,I000000000,---,---,---
9,2023,護理人員,I000000000,---,---,---
10,2023,勞安及衛生管理人員(含工業安全管理師),I000000000,---,---,---
11,2023,營養師,I000000000,363,39128,50.3
12,2023,專案管理師(含經營管理顧問),I000000000,214,62254,90.6
13,2023,稽核人員,I000000000,---,---,---
14,2023,人力資源管理師,I000000000,623,47532,64.9
15,2023,廣告及行銷專業人員(含企劃),I000000000,1374,37383,46.5
16,2023,公關專業人員,I000000000,424,43365,60.1
17,2023,資訊及通訊專業人員(含系統分析、程式設計、資料庫及網路專業人員),I000000000,278,53139,71.5
18,2023,技術員及助理專業人員,I000000000,5844,39574,51.9
19,2023,電機、電子技術員,I000000000,373,37882,50.7
20,2023,機械技術員(含造船、輪機、鑄造),I000000000,---,---,---
21,2023,食品技術員,I000000000,522,44099,64
22,2023,品管、工管及生管技術員,I000000000,-,-,-
23,2023,勞安及衛生技術員,I000000000,298,36626,43.3
24,2023,會計人員,I000000000,360,47120,63.4
25,2023,工商業銷售代表(含業務員),I000000000,1507,41907,53.7
26,2023,採購員,I000000000,1193,36799,46.2
27,2023,會議及活動規劃人員,I000000000,619,39210,50.3
28,2023,專業秘書,I000000000,---,---,---
29,2023,運動、健身及休閒娛樂指導員,I000000000,419,30808,42.6
30,2023,節目助理及舞台相關工作人員,I000000000,-,-,-
31,2023,資訊管理及維護技術員,I000000000,---,---,---
32,2023,事務支援人員,I000000000,24324,33578,42.1
33,2023,總務,I000000000,1835,34898,43.6
