序號,年度,職類別,行業別,7月底受僱員工人數,7月經常性薪資（金額元）,111年1月至111年12月全年薪資所得（金額萬元）
1,2023,主管及監督人員,B000000000,276,75669,118.4
2,2023,高階主管(總經理及總執行長),B000000000,---,---,---
3,2023,中階主管(經理),B000000000,85,82794,126
4,2023,監督人員(含現場及辦公室主任、科/股長),B000000000,176,70024,113.1
5,2023,專業人員,B000000000,373,65216,105.4
6,2023,品管、工管及生管工程師,B000000000,---,---,---
7,2023,土木及水利工程師,B000000000,---,---,---
8,2023,環境工程師,B000000000,---,---,---
9,2023,機械工程師(含造船、輪機、鑄造),B000000000,---,---,---
10,2023,化學工程師,B000000000,---,---,---
11,2023,地質、採礦、鑽探、冶金工程師,B000000000,150,66988,110.7
12,2023,電機、電子工程師,B000000000,---,---,---
13,2023,護理人員,B000000000,---,---,---
14,2023,勞安及衛生管理人員(含工業安全管理師),B000000000,---,---,---
15,2023,專案管理師(含經營管理顧問),B000000000,55,66020,109.6
16,2023,人力資源管理師,B000000000,---,---,---
17,2023,公關專業人員,B000000000,---,---,---
18,2023,資訊及通訊專業人員(含系統分析、程式設計、資料庫及網路專業人員),B000000000,---,---,---
19,2023,技術員及助理專業人員,B000000000,465,50488,86.1
20,2023,營建工程技術員(含建築、土木、景觀、測量、水利、消防),B000000000,-,-,-
21,2023,電機、電子技術員,B000000000,-,-,-
22,2023,機械技術員(含造船、輪機、鑄造),B000000000,44,48180,77.7
23,2023,地質、採礦、鑽探、冶金技術員,B000000000,223,50981,86.9
24,2023,環境工程技術員,B000000000,---,---,---
25,2023,焚化爐、水處理及氣(液)體設備操作員,B000000000,50,51001,95.5
26,2023,石油及天然氣精煉設備操作員,B000000000,36,52220,93.9
27,2023,勞安及衛生技術員,B000000000,---,---,---
28,2023,其他醫療保健助理專業人員,B000000000,-,-,-
29,2023,統計及精算助理專業人員,B000000000,---,---,---
30,2023,工商業銷售代表(含業務員),B000000000,---,---,---
31,2023,採購員,B000000000,---,---,---
32,2023,法務人員,B000000000,-,-,-
33,2023,資訊管理及維護技術員,B000000000,---,---,---
34,2023,事務支援人員,B000000000,459,36629,54.1
35,2023,總務,B000000000,---,---,---
36,2023,辦公室綜合事務人員(含資料登錄、一般事務秘書),B000000000,203,35741,55.5
37,2023,接待員及服務台事務人員(含總機),B000000000,-,-,-
38,2023,會計助理、簿記、出納,B000000000,151,34677,47.9
39,2023,存貨事務人員,B000000000,---,---,---
40,2023,人事事務人員,B000000000,---,---,---
41,2023,服務及銷售工作人員,B000000000,---,---,---
42,2023,廚師,B000000000,---,---,---
43,2023,建築物管理員、保全及警衛人員,B000000000,---,---,---
44,2023,救生員,B000000000,-,-,-
45,2023,技藝、機械設備操作及組裝人員,B000000000,1236,41225,62.1
46,2023,砌石、裁石及石雕人員,B000000000,---,---,---
47,2023,管道裝設人員(含檢修),B000000000,37,56278,97.3
48,2023,焊接及切割人員(含電焊工、氣焊工),B000000000,37,42918,65.3
49,2023,工具製造人員(含模具工、鉗工),B000000000,---,---,---
50,2023,車輛維修人員(含自行車、機車、汽車、火車),B000000000,---,---,---
51,2023,產業用機器維修人員,B000000000,45,38144,55.7
52,2023,電力、電子、資通訊設備裝修人員(含水電工),B000000000,82,53084,90.7
53,2023,生產機械設備操作人員、剪裁或裁縫人員,B000000000,412,41213,67.4
54,2023,小客、貨車駕駛人員,B000000000,---,---,---
55,2023,大客、貨車駕駛人員,B000000000,244,35822,45.5
56,2023,推土、吊車、起重機等移運設備操作人員,B000000000,282,40030,55.7
57,2023,船舶艙面水手及有關工作人員,B000000000,-,-,-
58,2023,基層技術工及勞力工,B000000000,159,28927,35.8
59,2023,清潔及家事工作人員(含建築清潔工、房務人員),B000000000,---,---,---
60,2023,勞力工(含理貨員、行李搬運工),B000000000,146,29119,36.2
61,2023,主管及監督人員,B050000000,122,104236,179.5
62,2023,高階主管(總經理及總執行長),B050000000,---,---,---
63,2023,中階主管(經理),B050000000,34,116471,193.7
64,2023,監督人員(含現場及辦公室主任、科/股長),B050000000,82,97732,172.6
65,2023,專業人員,B050000000,338,66479,108.7
66,2023,品管、工管及生管工程師,B050000000,---,---,---
67,2023,土木及水利工程師,B050000000,---,---,---
68,2023,環境工程師,B050000000,---,---,---
69,2023,機械工程師(含造船、輪機、鑄造),B050000000,---,---,---
70,2023,化學工程師,B050000000,---,---,---
71,2023,地質、採礦、鑽探、冶金工程師,B050000000,122,69932,117.6
72,2023,電機、電子工程師,B050000000,---,---,---
73,2023,護理人員,B050000000,---,---,---
74,2023,勞安及衛生管理人員(含工業安全管理師),B050000000,---,---,---
75,2023,專案管理師(含經營管理顧問),B050000000,55,66020,109.6
76,2023,人力資源管理師,B050000000,---,---,---
77,2023,公關專業人員,B050000000,---,---,---
78,2023,資訊及通訊專業人員(含系統分析、程式設計、資料庫及網路專業人員),B050000000,---,---,---
79,2023,技術員及助理專業人員,B050000000,371,54021,94.1
80,2023,營建工程技術員(含建築、土木、景觀、測量、水利、消防),B050000000,-,-,-
81,2023,機械技術員(含造船、輪機、鑄造),B050000000,---,---,---
82,2023,地質、採礦、鑽探、冶金技術員,B050000000,183,53357,92.6
83,2023,焚化爐、水處理及氣(液)體設備操作員,B050000000,50,51001,95.5
84,2023,石油及天然氣精煉設備操作員,B050000000,36,52220,93.9
85,2023,勞安及衛生技術員,B050000000,---,---,---
86,2023,統計及精算助理專業人員,B050000000,---,---,---
87,2023,採購員,B050000000,---,---,---
88,2023,法務人員,B050000000,-,-,-
89,2023,資訊管理及維護技術員,B050000000,---,---,---
90,2023,事務支援人員,B050000000,139,52090,88.2
91,2023,總務,B050000000,---,---,---
92,2023,辦公室綜合事務人員(含資料登錄、一般事務秘書),B050000000,71,48887,85.1
93,2023,會計助理、簿記、出納,B050000000,---,---,---
94,2023,存貨事務人員,B050000000,---,---,---
95,2023,人事事務人員,B050000000,---,---,---
96,2023,服務及銷售工作人員,B050000000,---,---,---
97,2023,建築物管理員、保全及警衛人員,B050000000,---,---,---
98,2023,救生員,B050000000,-,-,-
99,2023,技藝、機械設備操作及組裝人員,B050000000,328,56080,99.1
100,2023,管道裝設人員(含檢修),B050000000,37,56278,97.3
101,2023,焊接及切割人員(含電焊工、氣焊工),B050000000,---,---,---
102,2023,工具製造人員(含模具工、鉗工),B050000000,---,---,---
103,2023,車輛維修人員(含自行車、機車、汽車、火車),B050000000,---,---,---
104,2023,產業用機器維修人員,B050000000,---,---,---
105,2023,電力、電子、資通訊設備裝修人員(含水電工),B050000000,80,53536,91.8
106,2023,生產機械設備操作人員、剪裁或裁縫人員,B050000000,120,54918,103.7
107,2023,小客、貨車駕駛人員,B050000000,-,-,-
108,2023,大客、貨車駕駛人員,B050000000,---,---,---
109,2023,推土、吊車、起重機等移運設備操作人員,B050000000,---,---,---
110,2023,主管及監督人員,B060000000,154,53037,68.7
111,2023,高階主管(總經理及總執行長),B060000000,---,---,---
112,2023,中階主管(經理),B060000000,---,---,---
113,2023,監督人員(含現場及辦公室主任、科/股長),B060000000,94,45854,60.5
114,2023,專業人員,B060000000,---,---,---
115,2023,機械工程師(含造船、輪機、鑄造),B060000000,-,-,-
116,2023,地質、採礦、鑽探、冶金工程師,B060000000,---,---,---
117,2023,電機、電子工程師,B060000000,-,-,-
118,2023,勞安及衛生管理人員(含工業安全管理師),B060000000,---,---,---
119,2023,技術員及助理專業人員,B060000000,94,36544,51.3
120,2023,電機、電子技術員,B060000000,-,-,-
121,2023,機械技術員(含造船、輪機、鑄造),B060000000,---,---,---
122,2023,地質、採礦、鑽探、冶金技術員,B060000000,---,---,---
123,2023,環境工程技術員,B060000000,---,---,---
124,2023,勞安及衛生技術員,B060000000,---,---,---
125,2023,其他醫療保健助理專業人員,B060000000,-,-,-
126,2023,工商業銷售代表(含業務員),B060000000,---,---,---
127,2023,事務支援人員,B060000000,320,29914,38.1
128,2023,總務,B060000000,---,---,---
129,2023,辦公室綜合事務人員(含資料登錄、一般事務秘書),B060000000,132,28670,35.1
130,2023,接待員及服務台事務人員(含總機),B060000000,-,-,-
131,2023,會計助理、簿記、出納,B060000000,131,30791,40.1
132,2023,存貨事務人員,B060000000,---,---,---
133,2023,人事事務人員,B060000000,---,---,---
134,2023,服務及銷售工作人員,B060000000,---,---,---
135,2023,廚師,B060000000,---,---,---
136,2023,建築物管理員、保全及警衛人員,B060000000,---,---,---
137,2023,技藝、機械設備操作及組裝人員,B060000000,908,35859,47.5
138,2023,砌石、裁石及石雕人員,B060000000,---,---,---
139,2023,焊接及切割人員(含電焊工、氣焊工),B060000000,---,---,---
140,2023,車輛維修人員(含自行車、機車、汽車、火車),B060000000,---,---,---
141,2023,產業用機器維修人員,B060000000,37,33958,47.4
142,2023,電力、電子、資通訊設備裝修人員(含水電工),B060000000,-,-,-
143,2023,生產機械設備操作人員、剪裁或裁縫人員,B060000000,292,35581,50.2
144,2023,小客、貨車駕駛人員,B060000000,---,---,---
145,2023,大客、貨車駕駛人員,B060000000,240,35287,44.8
146,2023,推土、吊車、起重機等移運設備操作人員,B060000000,254,37139,48.6
147,2023,船舶艙面水手及有關工作人員,B060000000,-,-,-
148,2023,基層技術工及勞力工,B060000000,159,28927,35.8
149,2023,清潔及家事工作人員(含建築清潔工、房務人員),B060000000,---,---,---
150,2023,勞力工(含理貨員、行李搬運工),B060000000,146,29119,36.2
