序號,年度,職類別,行業別,7月底受僱員工人數,7月經常性薪資（金額元）,111年1月至111年12月全年薪資所得（金額萬元）
92,2023,人力資源管理師,L670000000,---,---,---
93,2023,廣告及行銷專業人員(含企劃),L670000000,630,49290,70.4
94,2023,公關專業人員,L670000000,---,---,---
95,2023,資訊及通訊專業人員(含系統分析、程式設計、資料庫及網路專業人員),L670000000,72,63698,92.5
96,2023,律師,L670000000,---,---,---
97,2023,技術員及助理專業人員,L670000000,11509,48069,76.7
98,2023,營建工程技術員(含建築、土木、景觀、測量、水利、消防),L670000000,5071,49243,78.1
99,2023,電機、電子技術員,L670000000,---,---,---
100,2023,製圖員,L670000000,---,---,---
101,2023,環境工程技術員,L670000000,-,-,-
102,2023,勞安及衛生技術員,L670000000,---,---,---
103,2023,會計人員,L670000000,377,48155,66.4
104,2023,工商業銷售代表(含業務員),L670000000,2640,48139,74.9
105,2023,採購員,L670000000,613,44360,72.1
106,2023,不動產經紀人,L670000000,---,---,---
107,2023,專業秘書,L670000000,---,---,---
108,2023,土地代書(地政士),L670000000,---,---,---
109,2023,法務人員,L670000000,181,58289,82.6
110,2023,資訊管理及維護技術員,L670000000,130,50460,67.3
111,2023,事務支援人員,L670000000,20682,37155,52.2
112,2023,總務,L670000000,1594,39058,51.7
113,2023,辦公室綜合事務人員(含資料登錄、一般事務秘書),L670000000,10291,36249,50.8
114,2023,收帳、收費人員(含帳款催收),L670000000,---,---,---
115,2023,接待員及服務台事務人員(含總機),L670000000,738,34119,50
116,2023,會計助理、簿記、出納,L670000000,6960,37813,53.9
117,2023,生產及物料規劃事務人員,L670000000,-,-,-
118,2023,人事事務人員,L670000000,---,---,---
119,2023,服務及銷售工作人員,L670000000,1947,41318,70.1
120,2023,按摩師,L670000000,-,-,-
121,2023,銷售人員,L670000000,1717,42111,71.3
122,2023,建築物管理員、保全及警衛人員,L670000000,---,---,---
123,2023,技藝、機械設備操作及組裝人員,L670000000,727,43157,58.1
124,2023,營建木作人員,L670000000,-,-,-
125,2023,屋頂工作、地面牆面鋪設、泥作工作人員,L670000000,-,-,-
126,2023,電力、電子、資通訊設備裝修人員(含水電工),L670000000,---,---,---
127,2023,小客、貨車駕駛人員,L670000000,---,---,---
128,2023,基層技術工及勞力工,L670000000,---,---,---
129,2023,清潔及家事工作人員(含建築清潔工、房務人員),L670000000,---,---,---
130,2023,主管及監督人員,L680000000,11242,57077,90.7
131,2023,高階主管(總經理及總執行長),L680000000,198,139732,301.5
132,2023,中階主管(經理),L680000000,1467,84790,140.8
133,2023,監督人員(含現場及辦公室主任、科/股長),L680000000,9577,51123,78
134,2023,專業人員,L680000000,4598,51809,72.7
135,2023,農、林、漁、牧業專業人員,L680000000,---,---,---
136,2023,土木及水利工程師,L680000000,75,60218,87.1
137,2023,環境工程師,L680000000,-,-,-
138,2023,電機、電子工程師,L680000000,---,---,---
139,2023,建築工程師(含建築師),L680000000,---,---,---
140,2023,景觀設計師、都市及交通規劃師,L680000000,141,58516,89
141,2023,測量師及製圖師,L680000000,-,-,-
142,2023,室內設計師,L680000000,---,---,---
143,2023,平面及多媒體設計師,L680000000,---,---,---
144,2023,護理人員,L680000000,---,---,---
145,2023,勞安及衛生管理人員(含工業安全管理師),L680000000,---,---,---
146,2023,會(審)計師,L680000000,259,61504,88.3
147,2023,財務及投資規劃分析人員,L680000000,179,58626,84.8
148,2023,專案管理師(含經營管理顧問),L680000000,233,55500,71.9
149,2023,稽核人員,L680000000,-,-,-
150,2023,人力資源管理師,L680000000,85,59512,88.8
151,2023,廣告及行銷專業人員(含企劃),L680000000,1985,44472,66.5
152,2023,公關專業人員,L680000000,131,51990,70.1
153,2023,資訊及通訊專業人員(含系統分析、程式設計、資料庫及網路專業人員),L680000000,772,57505,71.1
154,2023,律師,L680000000,-,-,-
155,2023,技術員及助理專業人員,L680000000,42933,43684,67
156,2023,營建工程技術員(含建築、土木、景觀、測量、水利、消防),L680000000,279,52844,85.3
157,2023,電機、電子技術員,L680000000,69,51006,79.7
158,2023,環境工程技術員,L680000000,---,---,---
159,2023,農業技術及農業推廣人員,L680000000,287,52783,82.2
160,2023,勞安及衛生技術員,L680000000,-,-,-
161,2023,會計人員,L680000000,1835,49548,73.3
162,2023,財物及損失鑑價人員,L680000000,695,43451,64.6
163,2023,工商業銷售代表(含業務員),L680000000,3432,40645,61.3
164,2023,採購員,L680000000,---,---,---
165,2023,不動產經紀人,L680000000,33507,43761,67.9
166,2023,拍賣員(不含電子購物、郵購),L680000000,-,-,-
167,2023,專業秘書,L680000000,1491,36628,56.1
168,2023,土地代書(地政士),L680000000,---,---,---
169,2023,法務人員,L680000000,---,---,---
170,2023,資訊管理及維護技術員,L680000000,941,42219,59.8
171,2023,事務支援人員,L680000000,22116,35100,47.2
172,2023,總務,L680000000,2030,40972,54.3
173,2023,辦公室綜合事務人員(含資料登錄、一般事務秘書),L680000000,12771,34252,45.8
174,2023,收帳、收費人員(含帳款催收),L680000000,703,36698,53.1
175,2023,接待員及服務台事務人員(含總機),L680000000,1146,33643,45.2
176,2023,統計調查訪談人員,L680000000,---,---,---
177,2023,會計助理、簿記、出納,L680000000,4885,34238,45.1
178,2023,存貨事務人員,L680000000,---,---,---
179,2023,生產及物料規劃事務人員,L680000000,-,-,-
180,2023,人事事務人員,L680000000,311,34808,47.4
181,2023,服務及銷售工作人員,L680000000,2934,34148,49.1
182,2023,廚師,L680000000,-,-,-
183,2023,餐飲服務人員(含餐食櫃台工作),L680000000,107,28007,33.9
184,2023,銷售人員,L680000000,2150,34461,52.8
185,2023,收銀員及售票員,L680000000,-,-,-
186,2023,建築物管理員、保全及警衛人員,L680000000,641,34371,44.6
187,2023,技藝、機械設備操作及組裝人員,L680000000,265,39843,59.7
188,2023,園藝及農牧業生產人員,L680000000,-,-,-
189,2023,空調及冷凍機械裝修人員,L680000000,-,-,-
190,2023,車輛維修人員(含自行車、機車、汽車、火車),L680000000,---,---,---
191,2023,電力、電子、資通訊設備裝修人員(含水電工),L680000000,---,---,---
192,2023,軌道車輛駕駛人員,L680000000,---,---,---
193,2023,小客、貨車駕駛人員,L680000000,---,---,---
194,2023,大客、貨車駕駛人員,L680000000,-,-,-
195,2023,基層技術工及勞力工,L680000000,1188,29883,35.9
196,2023,清潔及家事工作人員(含建築清潔工、房務人員),L680000000,572,28619,34.5
197,2023,勞力工(含理貨員、行李搬運工),L680000000,605,31130,37
198,2023,廚房幫工(含速食烹調),L680000000,-,-,-
