序號,年度,職類別,行業別,7月底受僱員工人數,7月經常性薪資（金額元）,111年1月至111年12月全年薪資所得（金額萬元）
1,2023,主管及監督人員,R000000000,10384,63367,81.8
2,2023,高階主管(總經理及總執行長),R000000000,693,132084,168.5
3,2023,中階主管(經理),R000000000,3452,79968,104.4
4,2023,監督人員(含現場及辦公室主任、科/股長),R000000000,6239,46549,59.9
5,2023,專業人員,R000000000,7618,37582,48.6
6,2023,電機、電子工程師,R000000000,---,---,---
7,2023,室內設計師,R000000000,-,-,-
8,2023,平面及多媒體設計師,R000000000,1115,38148,51.3
9,2023,產品及服裝設計師(含工業設計),R000000000,-,-,-
10,2023,護理人員,R000000000,---,---,---
11,2023,獸醫師,R000000000,---,---,---
12,2023,勞安及衛生管理人員(含工業安全管理師),R000000000,---,---,---
13,2023,營養師,R000000000,-,-,-
14,2023,風險控管人員,R000000000,---,---,---
15,2023,財務及投資規劃分析人員,R000000000,---,---,---
16,2023,專案管理師(含經營管理顧問),R000000000,---,---,---
17,2023,稽核人員,R000000000,---,---,---
18,2023,人力資源管理師,R000000000,---,---,---
19,2023,廣告及行銷專業人員(含企劃),R000000000,3259,37240,48.8
20,2023,公關專業人員,R000000000,---,---,---
21,2023,資訊及通訊專業人員(含系統分析、程式設計、資料庫及網路專業人員),R000000000,175,51493,77.2
22,2023,表演藝術人員(含演員、配音員),R000000000,1774,30731,39.0
23,2023,電影、舞台及有關導演與製作人,R000000000,720,47978,60.6
24,2023,其他專業人員,R000000000,-,-,-
25,2023,技術員及助理專業人員,R000000000,13133,42365,56.0
26,2023,營建工程技術員(含建築、土木、景觀、測量、水利、消防),R000000000,---,---,---
27,2023,電機、電子技術員,R000000000,400,43003,52.8
28,2023,環境工程技術員,R000000000,---,---,---
29,2023,會計人員,R000000000,-,-,-
30,2023,工商業銷售代表(含業務員),R000000000,992,39190,56.3
31,2023,採購員,R000000000,120,39121,50.6
32,2023,會議及活動規劃人員,R000000000,---,---,---
33,2023,專業秘書,R000000000,---,---,---
34,2023,法務人員,R000000000,---,---,---
35,2023,職業運動員,R000000000,255,132241,147.3
36,2023,運動、健身及休閒娛樂指導員,R000000000,7202,43694,60.0
37,2023,節目助理及舞台相關工作人員,R000000000,2559,32330,40.8
