序號,年度,職類別,行業別,7月底受僱員工人數,7月經常性薪資（金額元）,111年1月至111年12月全年薪資所得（金額萬元）
1,2023,主管及監督人員,F000000000,36513,70887,102.8
2,2023,高階主管(總經理及總執行長),F000000000,2678,127240,208.3
3,2023,中階主管(經理),F000000000,8015,89038,129.8
4,2023,監督人員(含現場及辦公室主任、科/股長),F000000000,25820,59407,83.6
5,2023,專業人員,F000000000,28327,56325,80.5
6,2023,品管、工管及生管工程師,F000000000,276,61852,97.5
7,2023,土木及水利工程師,F000000000,4612,60656,86.6
8,2023,環境工程師,F000000000,522,57686,84.5
9,2023,冷凍空調工程師,F000000000,1206,53073,73.5
10,2023,機械工程師(含造船、輪機、鑄造),F000000000,563,62964,100.9
11,2023,電機、電子工程師,F000000000,5715,58850,83.6
12,2023,電信工程師,F000000000,-,-,-
13,2023,建築工程師(含建築師),F000000000,3547,62530,93.7
14,2023,景觀設計師、都市及交通規劃師,F000000000,75,55219,69.4
15,2023,測量師及製圖師,F000000000,960,54692,77
16,2023,室內設計師,F000000000,4912,47302,67.6
17,2023,平面及多媒體設計師,F000000000,---,---,---
18,2023,護理人員,F000000000,---,---,---
19,2023,勞安及衛生管理人員(含工業安全管理師),F000000000,2725,53388,73.4
20,2023,財務及投資規劃分析人員,F000000000,---,---,---
21,2023,專案管理師(含經營管理顧問),F000000000,856,61229,85
22,2023,稽核人員,F000000000,---,---,---
23,2023,人力資源管理師,F000000000,246,57130,81.9
24,2023,廣告及行銷專業人員(含企劃),F000000000,273,54347,85.6
25,2023,公關專業人員,F000000000,---,---,---
26,2023,資訊及通訊專業人員(含系統分析、程式設計、資料庫及網路專業人員),F000000000,1200,55371,78.8
27,2023,律師,F000000000,-,-,-
28,2023,翻譯人員,F000000000,---,---,---
29,2023,技術員及助理專業人員,F000000000,66049,43184,58.5
30,2023,營建工程技術員(含建築、土木、景觀、測量、水利、消防),F000000000,30933,45088,62.7
31,2023,電機、電子技術員,F000000000,7910,43500,58.4
32,2023,冷凍空調技術員,F000000000,4588,39566,53.2
33,2023,機械技術員(含造船、輪機、鑄造),F000000000,1233,41980,53.5
34,2023,品管、工管及生管技術員,F000000000,---,---,---
35,2023,製圖員,F000000000,6568,37377,50.7
36,2023,環境工程技術員,F000000000,1630,38502,50.2
37,2023,發電設備操作員,F000000000,-,-,-
38,2023,勞安及衛生技術員,F000000000,4419,36789,48.6
39,2023,會計人員,F000000000,175,54917,79.8
40,2023,工商業銷售代表(含業務員),F000000000,4418,47908,65.8
41,2023,採購員,F000000000,2223,45276,59.5
42,2023,專業秘書,F000000000,621,50403,70.9
43,2023,法務人員,F000000000,---,---,---
44,2023,資訊管理及維護技術員,F000000000,1098,43454,54.8
45,2023,事務支援人員,F000000000,46039,35236,46.2
46,2023,總務,F000000000,4716,35178,46
47,2023,辦公室綜合事務人員(含資料登錄、一般事務秘書),F000000000,21194,35041,45.8
48,2023,收帳、收費人員(含帳款催收),F000000000,---,---,---
49,2023,接待員及服務台事務人員(含總機),F000000000,694,32714,43.1
50,2023,會計助理、簿記、出納,F000000000,16130,35296,46.1
51,2023,存貨事務人員,F000000000,873,37249,50
52,2023,生產及物料規劃事務人員,F000000000,631,38586,50.9
53,2023,人事事務人員,F000000000,1799,35962,49.3
54,2023,服務及銷售工作人員,F000000000,1033,33711,43.6
55,2023,廚師,F000000000,---,---,---
56,2023,按摩師,F000000000,-,-,-
57,2023,銷售人員,F000000000,-,-,-
58,2023,建築物管理員、保全及警衛人員,F000000000,783,32848,42.5
59,2023,技藝、機械設備操作及組裝人員,F000000000,246899,40140,52.6
60,2023,園藝及農牧業生產人員,F000000000,2839,30414,39.9
61,2023,砌磚及有關工作人員,F000000000,---,---,---
62,2023,砌石、裁石及石雕人員,F000000000,-,-,-
63,2023,鋼筋彎紮、模板及混凝土有關工作人員,F000000000,34951,42332,54.1
64,2023,營建木作人員,F000000000,12984,39440,49
65,2023,其他營建構造人員(含鷹架工、鋁門窗及廣告招牌製作安裝),F000000000,21981,35744,47.9
66,2023,屋頂工作、地面牆面鋪設、泥作工作人員,F000000000,28995,38364,51
67,2023,絕緣材料、玻璃安裝人員,F000000000,1363,32488,39.6
68,2023,管道裝設人員(含檢修),F000000000,19772,38175,48.6
69,2023,空調及冷凍機械裝修人員,F000000000,6464,34462,44.1
70,2023,油漆、噴漆人員(含裱糊工),F000000000,12352,37171,47.4
71,2023,焊接及切割人員(含電焊工、氣焊工),F000000000,12226,41388,53.1
72,2023,金屬結構預備及組合人員,F000000000,9459,38188,45.6
73,2023,車輛維修人員(含自行車、機車、汽車、火車),F000000000,---,---,---
74,2023,產業用機器維修人員,F000000000,647,40451,53.5
75,2023,電力、電子、資通訊設備裝修人員(含水電工),F000000000,53332,40661,58.9
76,2023,小客、貨車駕駛人員,F000000000,3399,45879,64
77,2023,大客、貨車駕駛人員,F000000000,2514,45679,54.6
78,2023,推土、吊車、起重機等移運設備操作人員,F000000000,22089,48288,62.3
79,2023,船舶艙面水手及有關工作人員,F000000000,-,-,-
80,2023,基層技術工及勞力工,F000000000,52506,33231,44
81,2023,清潔及家事工作人員(含建築清潔工、房務人員),F000000000,6683,30189,38.3
82,2023,勞力工(含理貨員、行李搬運工),F000000000,45823,33675,44.8
83,2023,主管及監督人員,F410000000,7000,90023,136.6
84,2023,高階主管(總經理及總執行長),F410000000,745,145385,226.3
85,2023,中階主管(經理),F410000000,1579,102335,152.3
86,2023,監督人員(含現場及辦公室主任、科/股長),F410000000,4676,77045,115.5
87,2023,專業人員,F410000000,7742,62159,90.7
88,2023,土木及水利工程師,F410000000,2251,61268,86.9
89,2023,環境工程師,F410000000,---,---,---
90,2023,電機、電子工程師,F410000000,795,62964,86.6
91,2023,建築工程師(含建築師),F410000000,2831,63940,96.9
92,2023,景觀設計師、都市及交通規劃師,F410000000,---,---,---
93,2023,測量師及製圖師,F410000000,236,57389,76.6
94,2023,室內設計師,F410000000,---,---,---
95,2023,勞安及衛生管理人員(含工業安全管理師),F410000000,872,60036,89.8
96,2023,專案管理師(含經營管理顧問),F410000000,---,---,---
97,2023,稽核人員,F410000000,---,---,---
98,2023,人力資源管理師,F410000000,99,61927,88.6
99,2023,廣告及行銷專業人員(含企劃),F410000000,---,---,---
100,2023,資訊及通訊專業人員(含系統分析、程式設計、資料庫及網路專業人員),F410000000,---,---,---
101,2023,技術員及助理專業人員,F410000000,16967,49473,69.4
102,2023,營建工程技術員(含建築、土木、景觀、測量、水利、消防),F410000000,12506,50465,71.4
103,2023,電機、電子技術員,F410000000,---,---,---
104,2023,製圖員,F410000000,949,44315,59.5
105,2023,環境工程技術員,F410000000,---,---,---
106,2023,勞安及衛生技術員,F410000000,1272,41511,59.1
107,2023,會計人員,F410000000,---,---,---
108,2023,工商業銷售代表(含業務員),F410000000,---,---,---
109,2023,採購員,F410000000,704,51392,68.6
110,2023,專業秘書,F410000000,---,---,---
111,2023,法務人員,F410000000,---,---,---
112,2023,資訊管理及維護技術員,F410000000,---,---,---
113,2023,事務支援人員,F410000000,7584,37779,50.1
114,2023,總務,F410000000,997,37928,48.7
115,2023,辦公室綜合事務人員(含資料登錄、一般事務秘書),F410000000,2809,37858,50.7
116,2023,接待員及服務台事務人員(含總機),F410000000,---,---,---
117,2023,會計助理、簿記、出納,F410000000,2919,37928,50.8
118,2023,存貨事務人員,F410000000,-,-,-
119,2023,生產及物料規劃事務人員,F410000000,186,44115,65.1
120,2023,人事事務人員,F410000000,434,35076,44.5
121,2023,服務及銷售工作人員,F410000000,---,---,---
122,2023,廚師,F410000000,---,---,---
123,2023,建築物管理員、保全及警衛人員,F410000000,-,-,-
124,2023,技藝、機械設備操作及組裝人員,F410000000,31200,41694,58.6
125,2023,園藝及農牧業生產人員,F410000000,---,---,---
126,2023,鋼筋彎紮、模板及混凝土有關工作人員,F410000000,---,---,---
127,2023,營建木作人員,F410000000,---,---,---
128,2023,其他營建構造人員(含鷹架工、鋁門窗及廣告招牌製作安裝),F410000000,---,---,---
129,2023,屋頂工作、地面牆面鋪設、泥作工作人員,F410000000,11341,41640,59.1
130,2023,焊接及切割人員(含電焊工、氣焊工),F410000000,-,-,-
131,2023,金屬結構預備及組合人員,F410000000,-,-,-
132,2023,電力、電子、資通訊設備裝修人員(含水電工),F410000000,---,---,---
133,2023,小客、貨車駕駛人員,F410000000,---,---,---
134,2023,大客、貨車駕駛人員,F410000000,-,-,-
135,2023,推土、吊車、起重機等移運設備操作人員,F410000000,---,---,---
136,2023,基層技術工及勞力工,F410000000,17364,34248,45
137,2023,清潔及家事工作人員(含建築清潔工、房務人員),F410000000,---,---,---
138,2023,勞力工(含理貨員、行李搬運工),F410000000,15391,34711,47.2
139,2023,主管及監督人員,F420000000,3857,81815,113.6
140,2023,高階主管(總經理及總執行長),F420000000,332,137310,215.8
141,2023,中階主管(經理),F420000000,1046,108819,146.8
142,2023,監督人員(含現場及辦公室主任、科/股長),F420000000,2479,62988,88.5
143,2023,專業人員,F420000000,4862,60114,85.3
144,2023,品管、工管及生管工程師,F420000000,181,63628,96.7
145,2023,土木及水利工程師,F420000000,1703,61327,87
146,2023,環境工程師,F420000000,208,60094,81.6
147,2023,冷凍空調工程師,F420000000,59,68080,83.6
148,2023,機械工程師(含造船、輪機、鑄造),F420000000,208,66517,101.1
149,2023,電機、電子工程師,F420000000,507,66744,96.6
150,2023,建築工程師(含建築師),F420000000,512,52921,78.3
151,2023,景觀設計師、都市及交通規劃師,F420000000,---,---,---
152,2023,測量師及製圖師,F420000000,218,50912,70
153,2023,室內設計師,F420000000,---,---,---
154,2023,護理人員,F420000000,---,---,---
155,2023,勞安及衛生管理人員(含工業安全管理師),F420000000,656,53487,72.4
156,2023,財務及投資規劃分析人員,F420000000,-,-,-
157,2023,專案管理師(含經營管理顧問),F420000000,179,74385,100.1
158,2023,稽核人員,F420000000,---,---,---
159,2023,人力資源管理師,F420000000,70,61957,87.7
160,2023,廣告及行銷專業人員(含企劃),F420000000,135,58082,84.2
161,2023,公關專業人員,F420000000,---,---,---
162,2023,資訊及通訊專業人員(含系統分析、程式設計、資料庫及網路專業人員),F420000000,101,56835,83
163,2023,律師,F420000000,-,-,-
164,2023,翻譯人員,F420000000,-,-,-
165,2023,技術員及助理專業人員,F420000000,11165,42245,57.5
166,2023,營建工程技術員(含建築、土木、景觀、測量、水利、消防),F420000000,6922,42743,58.6
167,2023,電機、電子技術員,F420000000,555,45374,56.6
168,2023,冷凍空調技術員,F420000000,-,-,-
169,2023,機械技術員(含造船、輪機、鑄造),F420000000,97,49915,77.1
170,2023,品管、工管及生管技術員,F420000000,---,---,---
171,2023,製圖員,F420000000,358,44824,61.2
172,2023,環境工程技術員,F420000000,1042,38442,48.9
173,2023,發電設備操作員,F420000000,-,-,-
174,2023,勞安及衛生技術員,F420000000,1088,36165,48.8
175,2023,會計人員,F420000000,---,---,---
176,2023,工商業銷售代表(含業務員),F420000000,---,---,---
