序號,年度,職類別,行業別,7月底受僱員工人數,7月經常性薪資（金額元）,113年1月至113年12月全年薪資所得（金額萬元）
1,2025,主管及監督人員,C000000000,265152,84598,151.5
2,2025,高階主管(總經理及總執行長),C000000000,23811,157798,298.9
3,2025,中階主管(經理),C000000000,86297,101419,182.1
4,2025,監督人員(含現場及辦公室主任、科/股長),C000000000,155044,63995,109.5
5,2025,專業人員,C000000000,310756,68821,126.4
6,2025,數理工程及地球科學研究人員,C000000000,---,---,---
7,2025,統計及精算專業人員,C000000000,-,-,-
8,2025,生命科學及生物科技專業人員(含生態環境),C000000000,1689,51632,68.9
9,2025,農、林、漁、牧業專業人員,C000000000,317,62248,88.5
10,2025,品管、工管及生管工程師,C000000000,48287,59987,101.3
11,2025,土木及水利工程師,C000000000,388,58054,99.6
12,2025,環境工程師,C000000000,807,63423,104.1
13,2025,航空機械工程師,C000000000,1208,73428,118
14,2025,冷凍空調工程師,C000000000,1522,70684,127.2
15,2025,機械工程師(含造船、輪機、鑄造),C000000000,37011,62170,111.3
16,2025,食品工程師,C000000000,1444,56130,78.3
17,2025,化學工程師,C000000000,16434,69725,129.2
18,2025,地質、採礦、鑽探、冶金工程師,C000000000,228,79918,138
19,2025,紡織工程師,C000000000,1161,49663,69.5
20,2025,醫療器材、醫學工程師,C000000000,1205,52481,77.5
21,2025,生物科學工程師,C000000000,-,-,-
22,2025,光學工程師,C000000000,4491,70007,112.3
23,2025,電機、電子工程師,C000000000,97508,76071,156.5
24,2025,電信工程師,C000000000,6601,111129,220.2
25,2025,建築工程師(含建築師),C000000000,77,62788,110.6
26,2025,景觀設計師、都市及交通規劃師,C000000000,---,---,---
27,2025,測量師及製圖師,C000000000,---,---,---
28,2025,室內設計師,C000000000,---,---,---
29,2025,平面及多媒體設計師,C000000000,868,44436,58.8
30,2025,產品及服裝設計師(含工業設計),C000000000,14724,58691,91.9
31,2025,醫師,C000000000,---,---,---
32,2025,護理人員,C000000000,894,48331,82.2
33,2025,獸醫師,C000000000,---,---,---
34,2025,藥事人員(含藥師),C000000000,522,56377,78.7
35,2025,勞安及衛生管理人員(含工業安全管理師),C000000000,8035,56852,88.2
36,2025,營養師,C000000000,---,---,---
37,2025,其他醫療保健專業人員,C000000000,-,-,-
38,2025,學前教育人員,C000000000,---,---,---
39,2025,補教業教師,C000000000,-,-,-
40,2025,會(審)計師,C000000000,206,73425,123.4
41,2025,風險控管人員,C000000000,---,---,---
42,2025,財務及投資規劃分析人員,C000000000,821,68338,117.7
43,2025,專案管理師(含經營管理顧問),C000000000,11540,70318,111.1
44,2025,稽核人員,C000000000,1037,65172,103.7
45,2025,人力資源管理師,C000000000,6236,55597,87.4
46,2025,廣告及行銷專業人員(含企劃),C000000000,12084,57891,93.4
47,2025,公關專業人員,C000000000,251,70789,115.4
48,2025,資訊及通訊專業人員(含系統分析、程式設計、資料庫及網路專業人員),C000000000,32407,76442,144.4
49,2025,律師,C000000000,129,85068,151.9
50,2025,專利工程師及公證人,C000000000,296,75231,139
51,2025,社工師、心理專業人員,C000000000,---,---,---
52,2025,編輯、作家及有關撰稿人員,C000000000,---,---,---
53,2025,翻譯人員,C000000000,131,49970,76.4
54,2025,電影、舞台及有關導演與製作人,C000000000,-,-,-
55,2025,其他專業人員,C000000000,-,-,-
56,2025,技術員及助理專業人員,C000000000,437155,46110,76.6
57,2025,物理、化學及地球科學技術員,C000000000,50,38908,60.6
58,2025,營建工程技術員(含建築、土木、景觀、測量、水利、消防),C000000000,462,57717,91.5
59,2025,電機、電子技術員,C000000000,88780,46722,90.7
60,2025,航空機械技術員,C000000000,2042,65058,108.5
61,2025,冷凍空調技術員,C000000000,413,47654,76.6
62,2025,機械技術員(含造船、輪機、鑄造),C000000000,58467,44780,75.8
63,2025,食品技術員,C000000000,6043,39712,53.9
64,2025,化工技術員,C000000000,22725,48983,80.2
65,2025,品管、工管及生管技術員,C000000000,94657,41260,66.7
66,2025,製圖員,C000000000,15301,39905,54.2
67,2025,地質、採礦、鑽探、冶金技術員,C000000000,---,---,---
68,2025,環境工程技術員,C000000000,1939,47488,74.8
69,2025,紡織技術員,C000000000,6154,37136,50.5
70,2025,發電設備操作員,C000000000,-,-,-
71,2025,焚化爐、水處理及氣(液)體設備操作員,C000000000,1921,51411,76.9
72,2025,化學加工設備控制員,C000000000,-,-,-
73,2025,石油及天然氣精煉設備操作員,C000000000,-,-,-
74,2025,金屬生產製程控制員,C000000000,-,-,-
75,2025,生命科學技術員,C000000000,422,39156,51.5
76,2025,農業技術及農業推廣人員,C000000000,1213,52541,83.8
77,2025,船舶監管人員(含引水人員),C000000000,---,---,---
