序號,年度,職類別,行業別,7月底受僱員工人數,7月經常性薪資（金額元）,113年1月至113年12月全年薪資所得（金額萬元）
250,2025,工商業銷售代表(含業務員),K641400000,35,50517,88
251,2025,採購員,K641400000,-,-,-
252,2025,會議及活動規劃人員,K641400000,-,-,-
253,2025,專業秘書,K641400000,---,---,---
254,2025,土地代書(地政士),K641400000,-,-,-
255,2025,法務人員,K641400000,---,---,---
256,2025,資訊管理及維護技術員,K641400000,---,---,---
257,2025,其他技術員及助理專業人員,K641400000,-,-,-
258,2025,事務支援人員,K641400000,7150,49776,80.2
259,2025,總務,K641400000,---,---,---
260,2025,辦公室綜合事務人員(含資料登錄、一般事務秘書),K641400000,209,52621,84
261,2025,銀行、郵局櫃台事務人員,K641400000,5997,49763,80.1
262,2025,收帳、收費人員(含帳款催收),K641400000,156,48029,78.8
263,2025,接待員及服務台事務人員(含總機),K641400000,---,---,---
264,2025,電話及網路客服人員,K641400000,-,-,-
265,2025,統計調查訪談人員,K641400000,-,-,-
266,2025,醫院(診所)櫃台事務人員,K641400000,-,-,-
267,2025,會計助理、簿記、出納,K641400000,540,50030,81.6
268,2025,核保人員,K641400000,-,-,-
269,2025,統計、財務、證券及保險事務人員,K641400000,---,---,---
270,2025,存貨事務人員,K641400000,-,-,-
271,2025,人事事務人員,K641400000,---,---,---
272,2025,郵件處理及投遞人員,K641400000,-,-,-
273,2025,其他事務支援人員,K641400000,-,-,-
274,2025,服務及銷售工作人員,K641400000,---,---,---
275,2025,廚師(含廚房領班),K641400000,-,-,-
276,2025,餐飲服務人員(含餐飲領班、餐食櫃台工作),K641400000,-,-,-
277,2025,商店銷售及展售人員(含門市店長),K641400000,-,-,-
278,2025,電話及網路行銷人員,K641400000,-,-,-
279,2025,建築物管理員、保全及警衛人員,K641400000,---,---,---
280,2025,技藝、機械設備操作及組裝人員,K641400000,---,---,---
281,2025,電力、電子、資通訊設備裝修人員(含水電工),K641400000,-,-,-
282,2025,小客、貨車駕駛人員,K641400000,---,---,---
283,2025,大客、貨車駕駛人員,K641400000,-,-,-
284,2025,基層技術工及勞力工,K641400000,---,---,---
285,2025,清潔及家事工作人員(含建築清潔工、房務人員),K641400000,---,---,---
286,2025,勞力工(含理貨員、行李搬運工),K641400000,-,-,-
287,2025,廚房幫工(含速食烹調),K641400000,-,-,-
288,2025,抄表員及自動販賣機收款員,K641400000,-,-,-
289,2025,停車場管理工,K641400000,-,-,-
290,2025,主管及監督人員,K649000000,1106,162743,399.8
291,2025,高階主管(總經理及總執行長),K649000000,209,362138,1119.5
292,2025,中階主管(經理),K649000000,353,142881,332
293,2025,監督人員(含現場及辦公室主任、科/股長),K649000000,544,99026,212.6
294,2025,專業人員,K649000000,15159,73997,150
295,2025,統計及精算專業人員,K649000000,-,-,-
296,2025,護理人員,K649000000,---,---,---
297,2025,勞安及衛生管理人員(含工業安全管理師),K649000000,-,-,-
298,2025,會(審)計師,K649000000,---,---,---
